filename,timecode,seconds,frame
f00000037.jpg,00:00:01,1.480,37
f00000275.jpg,00:00:11,11.000,275
f00000357.jpg,00:00:14,14.280,357
f00000461.jpg,00:00:18,18.440,461
f00000570.jpg,00:00:22,22.800,570
f00000640.jpg,00:00:25,25.600,640
f00000686.jpg,00:00:27,27.440,686
f00000717.jpg,00:00:28,28.680,717
f00000853.jpg,00:00:34,34.120,853
f00001014.jpg,00:00:40,40.560,1014
f00001081.jpg,00:00:43,43.240,1081
f00001173.jpg,00:00:46,46.920,1173
f00001323.jpg,00:00:52,52.920,1323
f00001451.jpg,00:00:58,58.040,1451
f00001540.jpg,00:01:01,61.600,1540
